0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:57:59 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:13 +0530] "POST /flixme-webapp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:13 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:19 +0530] "GET /flixme-webapp/view-profile HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:23 +0530] "GET /flixme-webapp/edit-profile HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:31 +0530] "POST /flixme-webapp/edit-profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:31 +0530] "GET /flixme-webapp/view-profile HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:35 +0530] "GET /flixme-webapp/check-balance HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:39 +0530] "GET /flixme-webapp/edit-balance HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:44 +0530] "POST /flixme-webapp/edit-balance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:44 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:47 +0530] "GET /flixme-webapp/check-balance HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:49 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:53 +0530] "GET /flixme-webapp/movie-details?id=3 HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:58:56 +0530] "GET /flixme-webapp/add-review?movieId=3 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:07 +0530] "POST /flixme-webapp/add-review?movieId=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:08 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:11 +0530] "GET /flixme-webapp/customer-review HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:16 +0530] "GET /flixme-webapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:16 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:27 +0530] "POST /flixme-webapp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:27 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:33 +0530] "GET /flixme-webapp/view-profile HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:37 +0530] "GET /flixme-webapp/edit-password HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:48 +0530] "POST /flixme-webapp/edit-password HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:48 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:51 +0530] "GET /flixme-webapp/all-user HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:56 +0530] "GET /flixme-webapp/user-details?id=1 HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:59:59 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:03 +0530] "GET /flixme-webapp/movie HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:12 +0530] "POST /flixme-webapp/movie HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:12 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:14 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:19 +0530] "GET /flixme-webapp/movie-details?id=6 HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:28 +0530] "GET /flixme-webapp/delete-movie?movieId=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:29 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:34 +0530] "GET /flixme-webapp/movie-details?id=1 HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:40 +0530] "GET /flixme-webapp/view-review?movieId=1 HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:49 +0530] "GET /flixme-webapp/delete-review?reviewId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:49 +0530] "GET /flixme-webapp/ HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:52 +0530] "GET /flixme-webapp/all-movies HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:54 +0530] "GET /flixme-webapp/movie-details?id=1 HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:00:56 +0530] "GET /flixme-webapp/view-review?movieId=1 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:01:01 +0530] "GET /flixme-webapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:01:01 +0530] "GET /flixme-webapp/login HTTP/1.1" 200 1833
